host,sort,type,length,time,sigma
joe-arch-pc,mergesort,sorted,70,7.041999197099358e-06,3.925935438442735e-06
joe-arch-pc,mergesort,median-killer,70,9.34200215851888e-06,1.53921054655352e-06
joe-arch-pc,mergesort,reversed,70,8.86499765329063e-06,2.1787158302647482e-06
joe-arch-pc,mergesort,random,70,1.0231997293885797e-05,3.2318330837953482e-06
joe-arch-pc,heapsort,sorted,70,9.87599923973903e-06,3.1434984559380323e-06
joe-arch-pc,heapsort,median-killer,70,1.1599993740674108e-05,1.4568911074943613e-06
joe-arch-pc,heapsort,reversed,70,9.903997124638408e-06,2.2856472594531963e-06
joe-arch-pc,heapsort,random,70,1.1600001016631722e-05,3.626224927872176e-06
joe-arch-pc,quicksort,sorted,80,7.265996828209609e-06,6.777501231943443e-06
joe-arch-pc,quicksort,median-killer,80,1.0046001989394426e-05,1.5487351415002583e-06
joe-arch-pc,quicksort,reversed,80,8.244998753070831e-06,2.4068130811211777e-06
joe-arch-pc,quicksort,random,80,1.0166993888560683e-05,3.571267094597694e-06
joe-arch-pc,mergesort,sorted,80,7.266004104167223e-06,2.8607836516822104e-06
joe-arch-pc,mergesort,median-killer,80,9.413997759111226e-06,1.3010246650619252e-06
joe-arch-pc,mergesort,reversed,80,9.308001608587801e-06,2.2784701486044876e-06
joe-arch-pc,mergesort,random,80,1.1228003131691366e-05,2.7700993319648054e-06
joe-arch-pc,heapsort,sorted,80,1.0746000043582171e-05,3.1297861556835238e-06
joe-arch-pc,heapsort,median-killer,80,1.2418997357599437e-05,1.5255473015105366e-06
joe-arch-pc,heapsort,reversed,80,1.0250005288980901e-05,2.413321551529102e-06
joe-arch-pc,heapsort,random,80,1.1794996680691838e-05,3.1591922177015968e-06
joe-arch-pc,quicksort,sorted,90,7.180999091360718e-06,6.465685650745346e-06
joe-arch-pc,quicksort,median-killer,90,9.848998161032796e-06,1.5332217269412158e-06
joe-arch-pc,quicksort,reversed,90,8.210001396946609e-06,2.920716372268316e-06
joe-arch-pc,quicksort,random,90,1.0209994798060507e-05,2.299374916430536e-06
joe-arch-pc,mergesort,sorted,90,7.5160060077905655e-06,2.646077987103728e-06
joe-arch-pc,mergesort,median-killer,90,1.0036004823632538e-05,1.2157702713759936e-06
joe-arch-pc,mergesort,reversed,90,8.533999789506197e-06,2.349872362793907e-06
joe-arch-pc,mergesort,random,90,1.1850999726448208e-05,2.34713169105822e-06
joe-arch-pc,heapsort,sorted,90,1.1384006938897073e-05,3.339775939258261e-06
joe-arch-pc,heapsort,median-killer,90,1.2970995157957077e-05,1.3647812798538977e-06
joe-arch-pc,heapsort,reversed,90,1.0986004781443626e-05,2.3936253867520236e-06
joe-arch-pc,heapsort,random,90,1.2931006494909525e-05,2.90136351850357e-06
joe-arch-pc,quicksort,sorted,100,7.1739996201358736e-06,6.348205929329931e-06
joe-arch-pc,quicksort,median-killer,100,1.0457995813339949e-05,1.8388863456745425e-06
joe-arch-pc,quicksort,reversed,100,8.569004421588033e-06,2.3933497268820813e-06
joe-arch-pc,quicksort,random,100,1.0864998330362141e-05,2.1995761988693505e-06
joe-arch-pc,mergesort,sorted,100,7.4310009949840605e-06,2.5935444415942546e-06
joe-arch-pc,mergesort,median-killer,100,9.731003956403583e-06,1.6947018722452614e-06
joe-arch-pc,mergesort,reversed,100,9.304996638093144e-06,2.3018870792779502e-06
joe-arch-pc,mergesort,random,100,1.2222997611388564e-05,2.2315848791219323e-06
joe-arch-pc,heapsort,sorted,100,1.1850999726448208e-05,3.664161690120721e-06
joe-arch-pc,heapsort,median-killer,100,1.3618002412840724e-05,1.4588903002745684e-06
joe-arch-pc,heapsort,reversed,100,1.1734999134205282e-05,2.4007880748549384e-06
joe-arch-pc,heapsort,random,100,1.3504999515134841e-05,3.0218591517686942e-06
joe-arch-pc,quicksort,sorted,200,8.549999620299786e-06,3.5133082550935475e-06
joe-arch-pc,quicksort,median-killer,200,1.2896001862827688e-05,1.1952698660030895e-06
joe-arch-pc,quicksort,reversed,200,1.0256000678054988e-05,2.262370073971453e-06
joe-arch-pc,quicksort,random,200,1.5848003386054188e-05,2.1540088640019427e-06
joe-arch-pc,mergesort,sorted,200,8.816001354716718e-06,2.132504217429258e-06
joe-arch-pc,mergesort,median-killer,200,1.1185002222191542e-05,1.4155881354303987e-06
joe-arch-pc,mergesort,reversed,200,1.181900006486103e-05,2.077812049491313e-06
joe-arch-pc,mergesort,random,200,2.542899892432615e-05,1.955403102401488e-06
joe-arch-pc,heapsort,sorted,200,1.9412997062318027e-05,3.341211439238229e-06
joe-arch-pc,heapsort,median-killer,200,2.0731997210532427e-05,2.37471987236883e-06
joe-arch-pc,heapsort,reversed,200,1.8669998098630458e-05,3.984808730301143e-06
joe-arch-pc,heapsort,random,200,2.114100061589852e-05,1.978331901791837e-06
joe-arch-pc,quicksort,sorted,300,9.792005585040897e-06,4.006809578194739e-06
joe-arch-pc,quicksort,median-killer,300,1.5628000255674124e-05,1.4475024521390573e-06
joe-arch-pc,quicksort,reversed,300,1.196200173581019e-05,2.203730665338615e-06
joe-arch-pc,quicksort,random,300,2.1517000277526677e-05,7.5806327373656704e-06
joe-arch-pc,mergesort,sorted,300,9.893003152683377e-06,2.4659984838568584e-06
joe-arch-pc,mergesort,median-killer,300,1.2530006642919034e-05,1.5630607638644426e-06
joe-arch-pc,mergesort,reversed,300,1.6063997463788837e-05,2.2461918484761116e-06
joe-arch-pc,mergesort,random,300,2.3715998395346105e-05,2.417497285179677e-06
joe-arch-pc,heapsort,sorted,300,2.6759000320453197e-05,4.323007492851739e-06
joe-arch-pc,heapsort,median-killer,300,2.7947004127781838e-05,1.3203225052869522e-06
joe-arch-pc,heapsort,reversed,300,2.554399543441832e-05,2.172790054148671e-06
joe-arch-pc,heapsort,random,300,3.021799784619361e-05,1.8463174056405614e-06
joe-arch-pc,quicksort,sorted,400,1.0394003766123205e-05,3.389111281895221e-06
joe-arch-pc,quicksort,median-killer,400,1.8514001567382365e-05,1.4086350681543664e-06
joe-arch-pc,quicksort,reversed,400,1.3691002095583826e-05,2.417657830205862e-06
joe-arch-pc,quicksort,random,400,2.763399970717728e-05,1.9358630620695757e-06
joe-arch-pc,mergesort,sorted,400,1.1480995453894138e-05,2.703050307950663e-06
joe-arch-pc,mergesort,median-killer,400,1.4750999980606139e-05,1.214064046256211e-06
joe-arch-pc,mergesort,reversed,400,1.7102000128943473e-05,2.5406471281266066e-06
joe-arch-pc,mergesort,random,400,3.171400021528825e-05,4.455857763259167e-06
joe-arch-pc,heapsort,sorted,400,3.4294003853574395e-05,2.581230500487696e-06
joe-arch-pc,heapsort,median-killer,400,3.666400152724236e-05,1.437414426114962e-06
joe-arch-pc,heapsort,reversed,400,3.290200402261689e-05,2.3494631487601065e-06
joe-arch-pc,heapsort,random,400,3.952100087190047e-05,3.566122112709237e-06
joe-arch-pc,quicksort,sorted,500,1.134100602939725e-05,2.2764078429530503e-06
joe-arch-pc,quicksort,median-killer,500,2.141900040442124e-05,1.2366288525457022e-06
joe-arch-pc,quicksort,reversed,500,2.0322004274930805e-05,3.4945477651598346e-05
joe-arch-pc,quicksort,random,500,3.3517993870191276e-05,3.714865086431648e-06
joe-arch-pc,mergesort,sorted,500,1.2930002412758768e-05,2.1386736014208778e-06
joe-arch-pc,mergesort,median-killer,500,2.4624001525808126e-05,1.5459456354224087e-06
joe-arch-pc,mergesort,reversed,500,2.0872001186944544e-05,2.5223883847366493e-06
joe-arch-pc,mergesort,random,500,3.689499862957746e-05,1.8204225916140035e-06
joe-arch-pc,heapsort,sorted,500,4.256899410393089e-05,2.1772006301994996e-06
joe-arch-pc,heapsort,median-killer,500,4.4079002691432834e-05,2.071919383208819e-06
joe-arch-pc,heapsort,reversed,500,4.107999848201871e-05,3.1812239822076917e-06
joe-arch-pc,heapsort,random,500,4.8517998948227614e-05,8.225333080409006e-06
joe-arch-pc,quicksort,sorted,600,1.381699985358864e-05,2.6387924173252945e-06
joe-arch-pc,quicksort,median-killer,600,2.4905995815061033e-05,1.7471203231825668e-06
joe-arch-pc,quicksort,reversed,600,1.713999517960474e-05,3.7387917745613145e-06
joe-arch-pc,quicksort,random,600,4.063500091433525e-05,2.195338127120999e-06
joe-arch-pc,mergesort,sorted,600,1.3547003618441522e-05,2.8528858714088166e-06
joe-arch-pc,mergesort,median-killer,600,1.8129998352378607e-05,2.1805290426476573e-06
joe-arch-pc,mergesort,reversed,600,2.592799864942208e-05,2.028471480534161e-06
joe-arch-pc,mergesort,random,600,4.352100222604349e-05,1.939623896425618e-06
joe-arch-pc,heapsort,sorted,600,5.112999497214332e-05,2.2201114560149003e-06
joe-arch-pc,heapsort,median-killer,600,5.298500036587939e-05,2.606979449148737e-06
joe-arch-pc,heapsort,reversed,600,4.889100091531873e-05,2.0805176440009596e-06
joe-arch-pc,heapsort,random,600,5.8259000070393085e-05,2.1601938536269485e-06
joe-arch-pc,quicksort,sorted,700,1.4605000615119934e-05,2.8433650219486822e-06
joe-arch-pc,quicksort,median-killer,700,2.791500446619466e-05,1.9293467241957218e-06
joe-arch-pc,quicksort,reversed,700,1.9720006093848497e-05,2.303099779148035e-06
joe-arch-pc,quicksort,random,700,4.625500150723383e-05,2.139450521288497e-06
joe-arch-pc,mergesort,sorted,700,1.610899926163256e-05,4.391523805657198e-06
joe-arch-pc,mergesort,median-killer,700,2.0840001525357366e-05,1.3551409731389668e-06
joe-arch-pc,mergesort,reversed,700,2.1800995455123484e-05,2.0491913975789447e-06
joe-arch-pc,mergesort,random,700,5.282600614009425e-05,1.7294530258474324e-06
joe-arch-pc,heapsort,sorted,700,6.029799988027662e-05,3.6695859294660423e-06
joe-arch-pc,heapsort,median-killer,700,6.179000047268346e-05,1.219573812561266e-06
joe-arch-pc,heapsort,reversed,700,5.7131001085508615e-05,3.1134651137376974e-06
joe-arch-pc,heapsort,random,700,6.763699639122933e-05,2.8492214557361087e-06
joe-arch-pc,quicksort,sorted,800,1.5008998161647469e-05,2.2078915793419435e-06
joe-arch-pc,quicksort,median-killer,800,3.105300129391253e-05,1.6819273331430125e-06
joe-arch-pc,quicksort,reversed,800,2.145100006600842e-05,2.1993273327346443e-06
joe-arch-pc,quicksort,random,800,6.950199895072728e-05,1.878184771388643e-06
joe-arch-pc,mergesort,sorted,800,1.7197002307511866e-05,3.519504426757581e-06
joe-arch-pc,mergesort,median-killer,800,2.232900442322716e-05,1.3628543463739853e-06
joe-arch-pc,mergesort,reversed,800,2.8422000468708575e-05,2.1753337713577934e-06
joe-arch-pc,mergesort,random,800,6.031399971107021e-05,3.0840176325087945e-06
joe-arch-pc,heapsort,sorted,800,6.899399886606261e-05,4.8506410310577194e-06
joe-arch-pc,heapsort,median-killer,800,7.183599518612027e-05,5.361876410293043e-06
joe-arch-pc,heapsort,reversed,800,6.541799666592851e-05,2.0283256996704006e-06
joe-arch-pc,heapsort,random,800,7.833400013623759e-05,2.2535302462365123e-06
joe-arch-pc,quicksort,sorted,900,1.607600279385224e-05,2.4930208766444295e-06
joe-arch-pc,quicksort,median-killer,900,3.3766998967621475e-05,1.6607596634747661e-06
joe-arch-pc,quicksort,reversed,900,2.3640997824259102e-05,2.3370024571245864e-06
joe-arch-pc,quicksort,random,900,6.123300408944488e-05,4.865912501394789e-06
joe-arch-pc,mergesort,sorted,900,1.801399776013568e-05,2.514832060363105e-06
joe-arch-pc,mergesort,median-killer,900,2.3728003725409508e-05,1.404377872325698e-06
joe-arch-pc,mergesort,reversed,900,3.107100201305002e-05,4.0137046134024346e-06
joe-arch-pc,mergesort,random,900,6.741200195392594e-05,2.6326157669851464e-05
joe-arch-pc,heapsort,sorted,900,7.736300176475197e-05,2.2085612130325393e-06
joe-arch-pc,heapsort,median-killer,900,7.938199996715412e-05,1.0652601422426402e-06
joe-arch-pc,heapsort,reversed,900,7.323499448830262e-05,2.4132349905318974e-06
joe-arch-pc,heapsort,random,900,8.910400356398895e-05,2.2267705646235386e-06
joe-arch-pc,quicksort,sorted,1000,1.7327998648397624e-05,2.1812260966789123e-06
joe-arch-pc,quicksort,median-killer,1000,3.7755999073851854e-05,1.8622657713775274e-06
joe-arch-pc,quicksort,reversed,1000,3.7760000850539654e-05,2.5594612408601126e-06
joe-arch-pc,quicksort,random,1000,6.673899770248681e-05,2.9741399050081318e-06
joe-arch-pc,mergesort,sorted,1000,1.99189962586388e-05,2.5156005594703855e-06
joe-arch-pc,mergesort,median-killer,1000,2.6420995709486306e-05,2.5524754740080492e-06
joe-arch-pc,mergesort,reversed,1000,3.608100087149069e-05,2.6270914199738957e-06
joe-arch-pc,mergesort,random,1000,7.421999907819554e-05,1.6804099444907951e-06
joe-arch-pc,heapsort,sorted,1000,8.663399785291404e-05,2.066725023172417e-06
joe-arch-pc,heapsort,median-killer,1000,8.771600550971925e-05,1.1943576437139894e-06
joe-arch-pc,heapsort,reversed,1000,8.201300079235807e-05,2.13532745387995e-06
joe-arch-pc,heapsort,random,1000,9.906000195769593e-05,2.0038187025290056e-06
joe-arch-pc,quicksort,sorted,2000,3.0055998649913818e-05,5.963278024920914e-06
joe-arch-pc,quicksort,median-killer,2000,9.112899715546519e-05,6.937314779838928e-06
joe-arch-pc,quicksort,reversed,2000,4.665899905376136e-05,4.766119869036602e-06
joe-arch-pc,quicksort,random,2000,0.00013995799963595346,1.9761872464091727e-06
joe-arch-pc,mergesort,sorted,2000,3.6022000131197274e-05,3.2654968034085615e-06
joe-arch-pc,mergesort,median-killer,2000,4.7203000576701015e-05,1.5613681205252974e-06
joe-arch-pc,mergesort,reversed,2000,6.914300320204347e-05,2.1462401825219745e-06
joe-arch-pc,mergesort,random,2000,0.0001561899989610538,1.7265316359122456e-06
joe-arch-pc,heapsort,sorted,2000,0.00017753199790604413,2.507444719232908e-06
joe-arch-pc,heapsort,median-killer,2000,0.00018309399456484243,1.0998311549490616e-06
joe-arch-pc,heapsort,reversed,2000,0.0001693419981165789,2.0796501961212175e-06
joe-arch-pc,heapsort,random,2000,0.00020866399427177384,3.966296682659424e-06
joe-arch-pc,quicksort,sorted,3000,4.514099418884143e-05,1.4722559059560787e-05
joe-arch-pc,quicksort,median-killer,3000,0.00010704199667088687,1.951924024059385e-06
joe-arch-pc,quicksort,reversed,3000,7.19680028851144e-05,4.438546961859944e-06
joe-arch-pc,quicksort,random,3000,0.00021752600150648504,8.707844993285585e-06
joe-arch-pc,mergesort,sorted,3000,5.5848002375569195e-05,2.1074282053104724e-06
joe-arch-pc,mergesort,median-killer,3000,7.281400030478835e-05,7.653318032526817e-06
joe-arch-pc,mergesort,reversed,3000,9.025300096254796e-05,5.057728201090437e-06
joe-arch-pc,mergesort,random,3000,0.00024869399931048974,5.754671141452197e-06
joe-arch-pc,heapsort,sorted,3000,0.00027231700369156897,5.5616953555237245e-06
joe-arch-pc,heapsort,median-killer,3000,0.0002861780012608506,2.53337585216435e-06
joe-arch-pc,heapsort,reversed,3000,0.0002649059970281087,7.759932311932762e-06
joe-arch-pc,heapsort,random,3000,0.00032731000101193786,6.400814050208769e-06
joe-arch-pc,quicksort,sorted,4000,5.7298995670862496e-05,2.68075796189032e-06
joe-arch-pc,quicksort,median-killer,4000,0.00014510600158246234,2.4174160845536756e-06
joe-arch-pc,quicksort,reversed,4000,9.223200322594494e-05,2.27724284891563e-06
joe-arch-pc,quicksort,random,4000,0.0002971889989566989,5.407847057673836e-06
joe-arch-pc,mergesort,sorted,4000,7.049599662423134e-05,2.8620208552228775e-06
joe-arch-pc,mergesort,median-killer,4000,9.268800204154104e-05,6.638595779887904e-06
joe-arch-pc,mergesort,reversed,4000,0.00013892599963583052,6.4890096551653205e-06
joe-arch-pc,mergesort,random,4000,0.0003312479966552928,3.90588612458923e-06
joe-arch-pc,heapsort,sorted,4000,0.00036568899668054655,3.829905612023077e-06
joe-arch-pc,heapsort,median-killer,4000,0.0003858499985653907,1.0735609910466906e-05
joe-arch-pc,heapsort,reversed,4000,0.0003577449970180169,2.9180881785679925e-06
joe-arch-pc,heapsort,random,4000,0.00044848099787486717,4.065003858341543e-05
joe-arch-pc,quicksort,sorted,5000,7.256200478877872e-05,5.072458121217662e-06
joe-arch-pc,quicksort,median-killer,5000,0.00018093099788529798,2.444262137026215e-06
joe-arch-pc,quicksort,reversed,5000,0.00012220100325066596,2.0858508120210666e-06
joe-arch-pc,quicksort,random,5000,0.0003762699998333119,4.459616396314845e-06
joe-arch-pc,mergesort,sorted,5000,8.506199810653925e-05,8.518770101015542e-06
joe-arch-pc,mergesort,median-killer,5000,0.00011022899707313627,0.00016243399324032906
joe-arch-pc,mergesort,reversed,5000,0.00019289799820398912,4.308291125009793e-06
joe-arch-pc,mergesort,random,5000,0.00041688900091685355,3.4168932232210315e-06
joe-arch-pc,heapsort,sorted,5000,0.00046210599975893274,6.718254957713706e-06
joe-arch-pc,heapsort,median-killer,5000,0.0004946199987898581,4.052318133744744e-06
joe-arch-pc,heapsort,reversed,5000,0.00045686699741054326,7.667892027681592e-06
joe-arch-pc,heapsort,random,5000,0.0005733379948651418,1.9636607252621803e-05
joe-arch-pc,quicksort,sorted,6000,8.929600153351203e-05,3.1260568615349023e-06
joe-arch-pc,quicksort,median-killer,6000,0.0002220090027549304,2.894033542314549e-05
